English,standard bangla,romanized bangla,chakma,romanized chakma
We want something new,আমরা নতুন কিছু চাই,Amra notun kichu chai,আমি নুয়ো হিচ্ছু সেই,Ami nuyo hicchu sei
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,Amader khub shotorko howa uchit,আমার বেক্কুনের সতর্ক অনা দরকার,Amar bekkuner shotorko ona dorkar
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,Porer bar kokhon dekha korte pari?,পরে বার হক্কেনে দেগা গুরিবং,Pore bar hokkene dega guribong
When will you finish your work?,আপনি কখন কাজ শেষ করেছেন?,Apni kokhon kaaj shesh korechen?,তুই হক্কেনে হাম পুরিয়জ?,Tui hokkene ham puriyoj?
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,Tumi kokhon tomar gom katbe?,তুই হক্কেনে ত গম হাবিবি?,Tui hokkene to gom habibi?
Where is the beautiful girl?,সুন্দরী মেয়েটি কোথায়?,Shundori meyeti kothay?,দোল মিলিবু হুদু?,Dol milibu hudu?
Where is my lungi?,আমার লুঙ্গি কোথায়?,Amar lungi kothay?,ত ধুতি আন হুদু,To dhuti an hudu
What is your destination?,আপনার গন্তব্য কি?,Apnar gontobbo ki?,ত গন্তব্য আন হি?,To gontobyo an hi?
You don't understand me,তুমি আমাকে বোঝো না,Tumi amake bojho na,তুই মরে নবুঝছ?,Tui more nobujchos?
How can I help you?,আমি কীভাবে তোমাকে সাহায্য করতে পারি?,Ami kibhabe tomake shahajjo korte pari?,মুই হেগেরি তরে সাহায্য গুরি পারিম?,Mui hegeri tore sahajjo guri parim?
I don't understand,আমি বুঝতে পারছি না।,Ami bujhte parchi na.,মুুই বুজি নোয়ারঙ অর,Mui buji noyarong or
Please give me the bill,দয়া করে বিল দিন।,Doya kore bill din.,হুজুলি গুরি দাম আন দে?,Hujuli guri dam an de?
How much will it cost?,এটা কত খরচ হবে?,Eta koto khoroch hobe?,ইয়ান হট্টমান হরচ অব?,Yaan hottoman horoch ob?
Excuse my mistake,আমার ভুল মাফ করবেন।,Amar bhul maaf korben.,মো ভূল আন মাফ গুরিছ,Mo bhul an maap gurich
Have a nice day!,একটি ভালো দিন কাটুক!,Ekti bhalo din katuk!,ইজ্ঞু দিন গম হাদক,Iggu din gom hadok
It was nice to meet you,তোমার সাথে দেখা হয়ে ভালো লাগলো।,Tomar shathe dekha hoye bhalo laglo.,ত লগে দেগা অনেই গম লাগিলু,To loge dega onei gom lagilu
I am lost,আমি হারিয়ে গিয়েছি।,Ami hariye giyechi.,মুই আরি জিয়োঙ্গোই,Mui ari jiyongoi
Can you help me?,আপনি আমাকে সাহায্য করতে পারবেন কি?,Apni amake shahajjo korte parben ki?,তুই হি মরে সাহায্য গুরি পারিরি?,Tui hi more sahajjo guri pariri?
Where is the nearest hospital?,সবচেয়ে কাছের হাসপাতাল কোথায়?,Shobcheye kacher haspatal kothay?,বেগ হায়ো হাস্পাতাল আন হুদু?,Beg hayo haspatal an hudu?
I need a doctor,আমার একজন ডাক্তার দরকার।,Amar ekjon daktar dorkar.,মোর ইক্কু ডক্তর লাগিবু,Mor ikku doktor lagibu
What is your favorite food?,তোমার প্রিয় খাবার কি?,Tomar priyo khabar ki?,ত প্রিয় হাবার হি?,To priyo habar hi?
How is it spelled?,তার বানান কীভাবে?,Tar banan kibhabe?,তার বানান আন হিদিক্কিন?,Tar banan an hidikkin?
Where do you live?,তুমি কোথায় থাকো?,Tumi kothay thako?,তুই হুদু থাস?,Tui hudu thas?
Can I get a glass of water?,আমি একটি গ্লাস পানি পাবো?,Ami ekti glass pani pabo?,মুই হি এক গ্লাস পানি পেম?,Mui hi ek glass pani pem?
How is the weather today?,আজকে আবহাওয়া কেমন?,Ajke abhaowa kemon?,ইচ্ছি দেবা আন হিদিক্কিন?,Icchi deba an hidikkin?
I need to buy groceries,আমাকে মুদিখানা কিনতে হবে।,Amake mudikhana kinte hobe.,মোর মুদি হানা আন হিনা পুরিবু?,Mor mudi hana an hina puribu?
Could you please pass me the salt?,আপনি দয়া করে আমাকে লবণ এগিয়ে দিতে পারবেন ?,Apni doya kore amake lobon egiye dite parben?,তুই হি মরে হুজুলি গুরি নুন আন দি পারিবি?,Tui hi more hujuli guri nun an di paribi?
I have a headache,আমি মাথা ব্যাথা পাচ্ছি।,Ami matha betha pacchi.,মুই মাদা আনত পিরি পাঙ অর,Mui mada anot piri paang or
Where is the nearest pharmacy?,সবচেয়ে কাছের ফার্মেসি কোথায়?,Shobcheye kacher pharmacy kothay?,বেগ হায়োত ফার্মেসি বু হুদু?,Beg hayot pharmacy bu hudu?
How was your day?,তোমার দিন কেমন ছিল?,Tomar din kemon chilo?,ত দিন আন হেজান হাদিলু?,To din an hejan hadilu?
Please give me a menu,দয়া করে আমাকে একটি মেনু দিন।,Doya kore amake ekti menu din.,হুজুুলি গুরি মরে হাবার ও মেনু আন দে,Hujuli guri more habar o menu an de
What is your favorite color?,তোমার প্রিয় রঙ কি?,Tomar priyo rong ki?,ত প্রিয় রঙ আন হি?,To priyo rong an hi?
Do you have any siblings?,তোমার কোন ভাই-বোন আছে?,Tomar kono bhai-bon ache?,তর হি হনো ভেই-বোন আগন?,Tor hi hono bhei-bon agon?
I have a meeting at 3 o'clock,আমার ৩টায় একটি মিটিং আছে।,Amar tintay ekti meeting ache.,মরে ৩টায় ইক্কু সভা আগে,More 3tay ikku shobha age
Where did you go last week?,তুমি গত সপ্তাহে কোথায় গিয়েছিলে?,Tumi goto shoptahe kothay giyechile?,তুই গত সাপ্তাত হুদু যিয়োজ?,Tui goto saptat hudu jiyoj?
What is your favorite movie?,তোমার প্রিয় চলচ্চিত্র কি?,Tomar priyo cholochitro ki?,তর প্রিয় চলচিত্র হি?,Tor priyo cholochitro hi?
I need a coffee to wake me up,আমার উঠতে একটি কফি দরকার।,Amar uthte ekti coffee dorkar.,মোর উদদে ইক্কু হফি লাগিবু,Mor udde ikku hophi lagibu
Where is the nearest ATM?,সবচেয়ে কাছের এটিএম কোথায়?,Shobcheye kacher ATM kothay?,বেগো হায়োর এটিএম আন হুদু?,Bego hayor ATM an hudu?
My phone is not working,আমার ফোন কাজ করছে না।,Amar phone kaaj korche na.,মো ফোন আন হাম নগরের?,Mo phone an ham nogorer?
I will be back in a little while,আমি একটু পরে ফিরবো।,Ami ektu pore firbo.,মুই এক্কা হাক্কে ফিরিম,Mui ekka hakke phirim
Do you like to travel?,তোমার ভ্রমণ করতে ভালো লাগে?,Tomar bhromon korte bhalo lage?,তোর বেড়াদে গম লাগে?,Tor berade gom lage?
Please give me a pen,দয়া করে আমাকে একটি কলম দিন।,Doya kore amake ekti kolom din.,হুজুলি গুুরি মরে এক্কান হলম দিজ,Hujuli guri more ekkan holom dij
What is your phone number?,তোমার ফোন নাম্বার কি?,Tomar phone number ki?,ত ফোন নাম্বার আন হি?,To phone number an hi?
Can I get the Wi-Fi password?,আমি কি ওয়াই-ফাই পাসওয়ার্ড পাবো?,Ami ki Wi-Fi password pabo?,মই হি ওয়াই ফাই পাসওয়ার্ড আন পেম?,Moi hi Wi-Fi password an pem?
Where did you learn to cook so well?,তুমি কোথায় এত ভালো রান্না শেখেছো?,Tumi kothay eto bhalo ranna shekhecho?,তুই হুদুু এদক গম বানানা শিক্কোস?,Tui hudu edok gom banana shikkos?
Let's walk,চলো হেঁটে যাই।,Cholo hete jai.,যেই আদি ইজি,Jei adi iji
Can I borrow your book?,আমি কি তোমার বই ধার করতে পারি?,Ami ki tomar boi dhar korte pari?,মুই হি ত বিদ্যা আন ধার লোই পারিম?,Mui hi to bidda an dhar loi parim?
I have a day off tomorrow,আমার কাল একদিনের ছুটি আছে।,Amar kal ekdiner chuti ache.,মরে হিল্লি ইজ্ঞু দিনোর ছুটি আগে,More hilli iggu dinor chuti age
"Don't worry, everything will be fine","চিন্তা করো না, সব ঠিক হবে।","Chinta koro na, shob thik hobe.","চিদে নগুরিস, বেক ঠিক অব","Chide noguris, bek thik ob"
I have a pet dog,আমার একটি প্রাণি কুকুর আছে।,Amar ekti prani kukur ache.,মর ইজ্ঞু হুগুর আগে,Mor iggu hugur age
